# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# m a lʲ ʧʲ u g á ʃ k a	m a lʲ ʧʲ u g á ʃ kʲ i
# m a lʲ ú t k a	m a lʲ ú t kʲ i
# m a lʲ ú t o ʧʲ k a	m a lʲ ú t o ʧʲ kʲ i
# m a lʲ á v k a	m a lʲ á v kʲ i
# m a lʲ a rʲ í j a	m a lʲ a rʲ í j i
# m á m a	m á m i
# m a m a l í g a	m a m a l í gʲ i
# m a m á nʲ a	m a m á nʲ i
# m a m á ʃ a	m a m á ʃ i
# m a m á ʃ e nʲ k a	m a m á ʃ e nʲ kʲ i
# m á mʲ e nʲ k a	m á mʲ e nʲ kʲ i
# m á m k a	m á m kʲ i
# m a m ó n a	m a m ó n i
# m a m ó n a	m a m ó n i
# m á m o nʲ k a	m á m o nʲ kʲ i
# m á m o ʧʲ k a	m á m o ʧʲ kʲ i
# m a m ú lʲ a	m a m ú lʲ i
# m a m ú sʲ a	m a m ú sʲ i
# m á m u ʃ k a	m á m u ʃ kʲ i
# m a n a tʲ j á	m a n a tʲ j í
# m a n g ú s t a	m a n g ú s t i
# m a n d a rʲ í n k a	m a n d a rʲ í n kʲ i
# m a n dʲ í b u l a	m a n dʲ í b u l i
# m a n d ó l a	m a n d ó l i
# m a n d o lʲ í n a	m a n d o lʲ í n i
# m a n d o lʲ i nʲ í s t k a	m a n d o lʲ i nʲ í s t kʲ i
# m a n d r a g ó r a	m a n d r a g ó r i
# m a nʲ e kʲ é n ʃʃʲ i ʦ a	m a nʲ e kʲ é n ʃʃʲ i ʦ i
# m a nʲ é r a	m a nʲ é r i
# m a nʲ é r k a	m a nʲ é r kʲ i
# m a n ʒ é t a	m a n ʒ é t i
# m a n ʒ é t k a	m a n ʒ é t kʲ i
# m a nʲ i kʲ ú r ʃ a	m a nʲ i kʲ ú r ʃ i
# m a nʲ í l o v ʃʃʲ i n a	m a nʲ í l o v ʃʃʲ i n i
# m a nʲ i ó k a	m a nʲ i ó kʲ i
# m a nʲ i p u lʲ á ʦ i j a	m a nʲ i p u lʲ á ʦ i j i
# m a nʲ i fʲ e s t á n t k a	m a nʲ i fʲ e s t á n t kʲ i
# m a nʲ i fʲ e s t á ʦ i j a	m a nʲ i fʲ e s t á ʦ i j i
# m a nʲ í ʃ k a	m a nʲ í ʃ kʲ i
# m á nʲ i j a	m á nʲ i j i
# m á n k a	m á n kʲ i
# m a n kʲ i r ó v k a	m a n kʲ i r ó v kʲ i
# m á n n a	m á n n i
# m a n s á r d a	m a n s á r d i
# m a n sʲ í j k a	m a n sʲ í j kʲ i
# m a n tʲ í lʲ k a	m a n tʲ í lʲ kʲ i
# m a n tʲ í lʲ j a	m a n tʲ í lʲ j i
# m á n tʲ i j a	m á n tʲ i j i
# m a n u f a k t ú r a	m a n u f a k t ú r i
# m a nʲ ʧʲ ʒ ú r k a	m a nʲ ʧʲ ʒ ú r kʲ i
# m a nʲ j á k	m a nʲ j a k á
# m a nʲ j á ʧʲ k a	m a nʲ j á ʧʲ kʲ i
# m á r a	m á r i
# t á tʲ	t á tʲ a
# t à u - s a g í z	t à u - s a g í z a
# t a xʲ e ó mʲ e t r	t a xʲ e ó mʲ e t r a
# t a xʲ í mʲ e t r	t a xʲ í mʲ e t r a
# t a x ó mʲ e t r	t a x ó mʲ e t r a
# t a ʦ é t	t a ʦ é t a
# t a ʧʲ á lʲ ʃʃʲ i k	t a ʧʲ á lʲ ʃʃʲ i k a
# t á ʧʲ e ʧʲ nʲ i k	t á ʧʲ e ʧʲ nʲ i k a
# t á j a nʲ i j e	t á j a nʲ i j a
# t v á rʲ	t v á rʲ i
# t vʲ e r dʲ é nʲ i j e	t vʲ e r dʲ é nʲ i j a
# t vʲ e r d o zʲ ó m	t vʲ e r d o zʲ ó m a
# t vʲ e r d o mʲ é r	t vʲ e r d o mʲ é r a
# t vʲ ó r d o s tʲ	t vʲ ó r d o s tʲ i
# t vʲ é r dʲ	t vʲ é r dʲ i
# t vʲ í n	t vʲ í n a
# t vʲ i n dʲ é k	t vʲ i n dʲ é k a
# t vʲ í s t	t vʲ í s t a
# t v o rʲ é nʲ i j e	t v o rʲ é nʲ i j a
# t v o rʲ é ʦ	t v o r ʦ á
# t v o rʲ í l o	t v o rʲ í l a
# t v o r ó ʒ nʲ i k	t v o r ó ʒ nʲ i k a
# t v ó r ʧʲ e s t v o	t v ó r ʧʲ e s t v a
# tʲ e á t r	tʲ e á t r a
# tʲ e a t r á l	tʲ e a t r á l a
# tʲ e a t r á lʲ n o s tʲ	tʲ e a t r á lʲ n o s tʲ i
# tʲ e a t r o vʲ é d	tʲ e a t r o vʲ é d a
# tʲ e a t r o vʲ é dʲ e nʲ i j e	tʲ e a t r o vʲ é dʲ e nʲ i j a
# tʲ e bʲ e nʲ ó k	tʲ e bʲ e nʲ k á
# tʲ e v t ó n	tʲ e v t ó n a
# tʲ e z a v rʲ í r o v a nʲ i j e	tʲ e z a v rʲ í r o v a nʲ i j a
# tʲ e z á u r u s	tʲ e z á u r u s a
# tʲ é zʲ i s	tʲ é zʲ i s a
# tʲ e z o j i mʲ e nʲ í t s t v o	tʲ e z o j i mʲ e nʲ í t s t v a
# tʲ e j í z m	tʲ e j í z m a
# tʲ e j í n	tʲ e j í n a
# tʲ e j í s t	tʲ e j í s t a
# tʲ e j l o rʲ í z m	tʲ e j l o rʲ í z m a
# tʲ e kʲ í nʲ e ʦ	tʲ e kʲ í n ʦ a
# tʲ é k s t	tʲ é k s t a
# tʲ e k s tʲ í lʲ	tʲ e k s tʲ í lʲ a
# tʲ e k s tʲ í lʲ	tʲ e k s tʲ i lʲ á
# tʲ e k s tʲ í lʲ ʃʃʲ i k	tʲ e k s tʲ í lʲ ʃʃʲ i k a
# tʲ e k s t o vʲ í k	tʲ e k s t o vʲ i k á
# tʲ e k s t o vʲ i nʲ í t	tʲ e k s t o vʲ i nʲ í t a
# tʲ e k s t o lʲ í t	tʲ e k s t o lʲ í t a
# tʲ e k s t ó l o g	tʲ e k s t ó l o g a
# tʲ e k s t u á lʲ n o s tʲ	tʲ e k s t u á lʲ n o s tʲ i
# tʲ e k t o nʲ í s t	tʲ e k t o nʲ í s t a
# tʲ e k ú ʧʲ e s tʲ	tʲ e k ú ʧʲ e s tʲ i
# tʲ è lʲ e a v t ó g r a f	tʲ è lʲ e a v t ó g r a f a
# tʲ e lʲ e vʲ í dʲ e nʲ i j e	tʲ e lʲ e vʲ í dʲ e nʲ i j a
# tʲ e lʲ e vʲ í z o r	tʲ e lʲ e vʲ í z o r a
# tʲ e lʲ e g r á f	tʲ e lʲ e g r á f a
# tʲ e lʲ e g r a fʲ í s t	tʲ e lʲ e g r a fʲ í s t a
# tʲ e lʲ é ʒ e ʧʲ nʲ i k	tʲ e lʲ é ʒ e ʧʲ nʲ i k a
# tʲ e lʲ é ʒ nʲ i k	tʲ e lʲ é ʒ nʲ i k a
# tʲ è lʲ e z rʲ í tʲ e lʲ	tʲ è lʲ e z rʲ í tʲ e lʲ a
# tʲ è lʲ e k o m mʲ e n t á t o r	tʲ è lʲ e k o m mʲ e n t á t o r a
# tʲ e lʲ e mʲ é t r	tʲ e lʲ e mʲ é t r a
# tʲ e lʲ ó n o k	tʲ e lʲ ó n k a
# tʲ e lʲ e n ó m u s	tʲ e lʲ e n ó m u s a
# tʲ e lʲ ó n o ʧʲ e k	tʲ e lʲ ó n o ʧʲ k a
# tʲ è lʲ e o b j e k tʲ í v	tʲ è lʲ e o b j e k tʲ í v a
# tʲ e lʲ e o z á v r	tʲ e lʲ e o z á v r a
# tʲ é lʲ e pʲ e nʲ	tʲ é lʲ e p nʲ a
