# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# bʲ e s ʦ vʲ é t n o s tʲ	bʲ e s ʦ vʲ é t n o s tʲ i
# bʲ e s ʦ é lʲ n o s tʲ	bʲ e s ʦ é lʲ n o s tʲ i
# bʲ e s ʦ e n z ú r n o s tʲ	bʲ e s ʦ e n z ú r n o s tʲ i
# bʲ e s ʦ é n n o s tʲ	bʲ e s ʦ é n n o s tʲ i
# bʲ e s ʦ é n o k	bʲ e s ʦ é n k a
# bʲ e s ʦ e rʲ e m ó n n o s tʲ	bʲ e s ʦ e rʲ e m ó n n o s tʲ i
# bʲ e s ʧʲ e l o vʲ é ʧʲ i j e	bʲ e s ʧʲ e l o vʲ é ʧʲ i j a
# bʲ e s ʧʲ e l o vʲ é ʧʲ n o s tʲ	bʲ e s ʧʲ e l o vʲ é ʧʲ n o s tʲ i
# bʲ e s ʧʲ é s t n o s tʲ	bʲ e s ʧʲ é s t n o s tʲ i
# bʲ e s ʧʲ é s tʲ j e	bʲ e s ʧʲ é s tʲ j a
# bʲ e s ʧʲ í nʲ i j e	bʲ e s ʧʲ í nʲ i j a
# bʲ e s ʧʲ í n s t v o	bʲ e s ʧʲ í n s t v a
# bʲ e s ʧʲ í s lʲ e n n o s tʲ	bʲ e s ʧʲ í s lʲ e n n o s tʲ i
# bʲ e s ʧʲ ú v s t vʲ e n n o s tʲ	bʲ e s ʧʲ ú v s t vʲ e n n o s tʲ i
# bʲ e s ʧʲ ú v s t vʲ i j e	bʲ e s ʧʲ ú v s t vʲ i j a
# bʲ e s ʃ a b á ʃ n o s tʲ	bʲ e s ʃ a b á ʃ n o s tʲ i
# bʲ e s ʃ ó r s t n o s tʲ	bʲ e s ʃ ó r s t n o s tʲ i
# bʲ e s ʃ ú m n o s tʲ	bʲ e s ʃ ú m n o s tʲ i
# bʲ e t a j í n	bʲ e t a j í n a
# bʲ e t a t r ó n	bʲ e t a t r ó n a
# bʲ e tʲ é lʲ	bʲ e tʲ é lʲ a
# bʲ e t ó n	bʲ e t ó n a
# bʲ e t o nʲ í r o v a nʲ i j e	bʲ e t o nʲ í r o v a nʲ i j a
# bʲ e t o nʲ í t	bʲ e t o nʲ í t a
# bʲ e t o n o v ó z	bʲ e t o n o v ó z a
# bʲ e t ò n o n a s ó s	bʲ e t ò n o n a s ó s a
# bʲ e t ó n ʃʃʲ i k	bʲ e t ó n ʃʃʲ i k a
# bʲ è f s t r ó g a n o v	bʲ è f s t r ó g a n o v a
# bʲ e ʧʲ e v nʲ í k	bʲ e ʧʲ e v nʲ i k á
# bʲ e ʃ a mʲ é lʲ	bʲ e ʃ a mʲ é lʲ i
# bʲ e ʃ b a r m á k	bʲ e ʃ b a r m á k a
# bʲ é ʃ e n s t v o	bʲ é ʃ e n s t v a
# a r xʲ i p á s t o r s t v o	a r xʲ i p á s t o r s t v a
# a r xʲ i p á s t i rʲ	a r xʲ i p á s t i rʲ a
# a r xʲ i pʲ e l á g	a r xʲ i pʲ e l á g a
# a r xʲ i p l ú t	a r xʲ i p l ú t a
# a r xʲ i s t r a tʲ í g	a r xʲ i s t r a tʲ í g a
# a r xʲ i tʲ é k t o r	a r xʲ i tʲ é k t o r a
# a r xʲ i t r á v	a r xʲ i t r á v a
# a r x o z á v r	a r x o z á v r a
# a r x ó n t	a r x ó n t a
# a r ʧʲ í nʲ e ʦ	a r ʧʲ í n ʦ a
# a r ʃ í n	a r ʃ í n a
# a r ʃ í n	a r ʃ í n a
# a r ʃ í n nʲ i k	a r ʃ í n nʲ i k a
# a r í k	a r í k a
# a rʲ j e r g á r d	a rʲ j e r g á r d a
# á s	á s a
# a s bʲ é s t	a s bʲ é s t a
# a s bʲ e s tʲ í t	a s bʲ e s tʲ í t a
# a s bʲ è s t o bʲ e t ó n	a s bʲ è s t o bʲ e t ó n a
# a s bʲ e s t o nʲ í t	a s bʲ e s t o nʲ í t a
# a s bʲ è s t o ʦ e mʲ é n t	a s bʲ è s t o ʦ e mʲ é n t a
# a s b o lʲ í t	a s b o lʲ í t a
# à s b o ʦ e mʲ é n t	à s b o ʦ e mʲ é n t a
# a sʲ e k s u á lʲ n o s tʲ	a sʲ e k s u á lʲ n o s tʲ i
# a sʲ é s s o r	a sʲ é s s o r a
# a sʲ é s s o r	a sʲ é s s o r a
# a sʲ í dʲ e t o n	a sʲ í dʲ e t o n a
# a sʲ i d ó l	a sʲ i d ó l a
# a sʲ i m mʲ e t rʲ í ʧʲ n o s tʲ	a sʲ i m mʲ e t rʲ í ʧʲ n o s tʲ i
# a s k a nʲ í t	a s k a nʲ í t a
# a s k a rʲ i d ó z	a s k a rʲ i d ó z a
# a s kʲ é r	a s kʲ é r a
