#	This file contains the features of segments that I was able to obtain from Michael Becker.
#	Each feature is represented by a column of numbers and for every segment has the value of either
#	Feature names are collected every time the aligner goes through this file, but not
#	 stored at this time.  Potentially in the future they might be more actively used.
#	The question at this time is whether or not to expand the number of features in question to include
#	 for example, stress, duration of vowels etc.
consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constricted_gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense	stressed
ɡ̘	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0	0
x̘	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	0	0
j	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	0
k	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
# it's interesting that there is only one feature difference between k and its palatalized version
kʲ	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	0	0	0
g	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
gʲ	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	0	0	0
ŋ	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
k͡x	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
x	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
xʲ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	0	0	0
ɣ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
ʟ	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	1	1	1	-1	0	0	0	0
k̙	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0	0
g̙	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0	0
ɡ̙	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0	0
x̙	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0	0
ɣ̙	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	0	0
q	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
ɢ	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
χ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
ʁ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
ɴ	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
ʀ	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	0	0
ħ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	0
ʕ	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	0
ʔ	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
h	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
hʲ	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1	0	1	0	0	0
ɦ	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
w	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	0
ʍ	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	0
k͡p	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
ɡ͡b	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	1	1	-1	0	0	0	0
